Format Version,1.21,Take Name,Take 2019-11-04 02.12.00 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-11-04 02.12.00 PM,Total Frames in Take,912,Total Exported Frames,912,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003
,,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E35701388,8392B20CF49E35701388,8392B20CF49E35701388
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.253714,-0.12034,-0.035146,-0.959121,-0.099762,0.053291,0.133184,0.000076,-0.299528,0.053329,0.000231,0.976613,0.000099,0.053363,0.00002,0.983117,0.000144,0.05318,0.3993,0.982916,-0.299554,0.053329,0.000287,0.000167,0.053363,0.000013,0.000103,0.05318,0.399251,-0.387011,0.027439,0.248508
1,0.008333,0.253709,-0.120459,-0.035025,-0.959111,-0.099727,0.053236,0.133119,0.000106,-0.299517,0.053329,0.0002,0.965597,0.000111,0.053275,-0.000061,0.977425,0.000224,0.053104,0.399219,0.977592,-0.299554,0.053329,0.000287,0.000212,0.053275,-0.000083,0.00016,0.053104,0.399154,-0.387011,0.027439,0.248508
2,0.016667,0.253743,-0.120334,-0.035092,-0.959116,-0.099738,0.053282,0.133172,0.000089,-0.299499,0.053329,0.000211,0.967642,0.000129,0.053335,0.000012,0.978475,0.000158,0.05318,0.399292,0.987245,-0.299554,0.053329,0.000287,0.000238,0.053335,-0.000021,0.000103,0.05318,0.399251,-0.387011,0.027439,0.248508
3,0.025,0.253621,-0.120409,-0.035177,-0.959135,-0.099742,0.053266,0.133152,0.000123,-0.299529,0.053329,0.000229,0.971289,0.000098,0.053363,-0.000027,0.971051,0.000204,0.053104,0.399253,0.965526,-0.299554,0.053329,0.000287,0.000167,0.053363,0.000013,0.00016,0.053104,0.399154,-0.387078,0.027684,0.24864
4,0.033333,0.253519,-0.120259,-0.035119,-0.959183,-0.099792,0.053224,0.133181,0.000101,-0.299536,0.05333,0.000194,0.967195,0.000092,0.053344,0.000034,0.982037,0.000069,0.052999,0.399314,0.975264,-0.299554,0.053329,0.000287,0.000178,0.053344,0.000008,0,0.052999,0.399248,-0.387078,0.027684,0.24864
5,0.041667,0.253718,-0.12037,-0.035287,-0.959111,-0.099757,0.053195,0.133063,0.000083,-0.299541,0.053185,0.000136,0.970146,0.000087,0.053296,-0.000114,0.970209,0.000184,0.053104,0.399166,0.997426,-0.299643,0.053185,0.00017,0.000213,0.053296,-0.000136,0.00016,0.053104,0.399154,-0.387078,0.027684,0.24864
6,0.05,0.253494,-0.120118,-0.035432,-0.959196,-0.099818,0.053195,0.133163,0.000107,-0.299547,0.053185,0.000154,0.972939,0.000081,0.0534,0.000028,0.961108,0.000012,0.052999,0.399308,0.985464,-0.299643,0.053185,0.00017,0.00019,0.0534,0.000074,0,0.052999,0.399248,-0.387011,0.027439,0.248508
7,0.058333,0.253728,-0.12021,-0.035392,-0.959124,-0.09978,0.053249,0.133163,0.000122,-0.29953,0.053185,0.000184,0.96623,0.000098,0.053381,0.000012,0.960799,0.000092,0.05318,0.399292,0.981269,-0.299643,0.053185,0.00017,0.000202,0.053381,0.000068,0.000103,0.05318,0.399251,-0.387078,0.027684,0.24864
8,0.066667,0.253651,-0.120316,-0.0354,-0.959131,-0.099773,0.053218,0.133112,0.00011,-0.299551,0.053185,0.000176,0.975953,0.000077,0.053363,-0.00006,0.959916,0.000156,0.053104,0.39922,0.981325,-0.299643,0.053185,0.00017,0.000167,0.053363,0.000013,0.00016,0.053104,0.399154,-0.387078,0.027684,0.24864
9,0.075,0.253773,-0.120241,-0.035314,-0.959111,-0.099767,0.053233,0.133133,0.000105,-0.29952,0.053185,0.000159,0.961652,0.000108,0.053335,-0.00002,0.96734,0.00011,0.05318,0.39926,0.992389,-0.299643,0.053185,0.00017,0.000238,0.053335,-0.000021,0.000103,0.05318,0.399251,-0.387078,0.027684,0.24864
10,0.083333,0.253651,-0.120316,-0.0354,-0.959131,-0.099773,0.053218,0.133112,0.00011,-0.299551,0.053185,0.000176,0.975953,0.000077,0.053363,-0.00006,0.959916,0.000156,0.053104,0.39922,0.981325,-0.299643,0.053185,0.00017,0.000167,0.053363,0.000013,0.00016,0.053104,0.399154,-0.387078,0.027684,0.24864
11,0.091667,0.253753,-0.120246,-0.035353,-0.959114,-0.099767,0.05324,0.133116,0.000118,-0.299524,0.053185,0.000147,0.961522,0.000104,0.053355,-0.00004,0.962542,0.000118,0.05318,0.39924,0.987721,-0.299643,0.053185,0.00017,0.000239,0.053355,-0.000074,0.000103,0.05318,0.399251,-0.387078,0.027684,0.24864
12,0.1,0.253665,-0.120196,-0.035506,-0.959139,-0.099782,0.053269,0.133148,0.000105,-0.299537,0.053185,0.000176,0.967285,0.000091,0.053443,-0.000006,0.967448,0.000098,0.05318,0.399274,0.986865,-0.299643,0.053185,0.00017,0.000193,0.053444,0.000023,0.000103,0.05318,0.399251,-0.387078,0.027684,0.24864
