Format Version,1.21,Take Name,Take 2019-12-05 04.42.16 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 04.42.16 PM,Total Frames in Take,865,Total Exported Frames,865,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111241,-0.546856,-0.071323,-0.826733,-0.104667,0.052529,0.143468,0.000235,-0.006298,0.052586,0.009057,0.951858,-0.305249,0.052309,0.012283,0.916200,-0.002453,0.052691,0.409065,0.955378,-0.006429,0.052586,0.009024,-0.305030,0.052309,0.012390,-0.002532,0.052691,0.408995,-0.488319,0.043951,0.329805
1,0.008333,0.111264,-0.546839,-0.071362,-0.826737,-0.104666,0.052517,0.143461,0.000244,-0.006294,0.052585,0.009052,0.949362,-0.305245,0.052280,0.012270,0.913413,-0.002460,0.052687,0.409060,0.954522,-0.006434,0.052584,0.009021,-0.305017,0.052280,0.012376,-0.002538,0.052687,0.408990,-0.488327,0.043948,0.329821
2,0.016667,0.111295,-0.546818,-0.071396,-0.826744,-0.104664,0.052506,0.143455,0.000257,-0.006287,0.052582,0.009050,0.945790,-0.305238,0.052249,0.012256,0.908205,-0.002469,0.052688,0.409058,0.953117,-0.006440,0.052581,0.009018,-0.304994,0.052249,0.012364,-0.002549,0.052688,0.408988,-0.488334,0.043941,0.329821
3,0.025000,0.111336,-0.546785,-0.071455,-0.826755,-0.104651,0.052494,0.143438,0.000275,-0.006265,0.052584,0.009039,0.940071,-0.305217,0.052207,0.012228,0.900661,-0.002471,0.052690,0.409048,0.952655,-0.006445,0.052584,0.009006,-0.304947,0.052207,0.012333,-0.002549,0.052690,0.408982,-0.488332,0.043929,0.329823
4,0.033333,0.111374,-0.546764,-0.071518,-0.826759,-0.104641,0.052481,0.143425,0.000295,-0.006252,0.052588,0.009029,0.935076,-0.305203,0.052165,0.012208,0.894209,-0.002469,0.052690,0.409038,0.949813,-0.006447,0.052587,0.008997,-0.304915,0.052166,0.012316,-0.002549,0.052689,0.408967,-0.488339,0.043930,0.329821
5,0.041667,0.111404,-0.546742,-0.071557,-0.826766,-0.104634,0.052470,0.143411,0.000304,-0.006239,0.052586,0.009019,0.932434,-0.305191,0.052134,0.012187,0.890596,-0.002473,0.052689,0.409028,0.948833,-0.006444,0.052586,0.008988,-0.304891,0.052134,0.012295,-0.002553,0.052689,0.408958,-0.488356,0.043922,0.329820
