Format Version,1.21,Take Name,Take 2019-12-05 04.52.25 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 04.52.25 PM,Total Frames in Take,912,Total Exported Frames,912,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111211,-0.546898,-0.071043,-0.826733,-0.104998,0.052428,0.143108,0.000013,-0.006631,0.052400,0.008695,0.997262,-0.305582,0.052275,0.011925,0.997478,-0.002782,0.052609,0.408703,0.995254,-0.006628,0.052400,0.008702,-0.305581,0.052275,0.011931,-0.002786,0.052609,0.408690,-0.488659,0.051783,0.284181
1,0.008333,0.111213,-0.546900,-0.071047,-0.826731,-0.104998,0.052429,0.143107,0.000014,-0.006631,0.052403,0.008694,0.997307,-0.305582,0.052275,0.011926,0.997310,-0.002779,0.052611,0.408702,0.995042,-0.006630,0.052403,0.008701,-0.305579,0.052275,0.011931,-0.002784,0.052611,0.408689,-0.488680,0.051787,0.284171
2,0.016667,0.111206,-0.546900,-0.071048,-0.826732,-0.104995,0.052428,0.143106,0.000008,-0.006629,0.052403,0.008693,0.998257,-0.305580,0.052276,0.011925,0.998573,-0.002777,0.052605,0.408701,0.997351,-0.006629,0.052403,0.008698,-0.305578,0.052276,0.011927,-0.002778,0.052605,0.408694,-0.488687,0.051783,0.284171
3,0.025000,0.111217,-0.546898,-0.071042,-0.826732,-0.104996,0.052426,0.143103,0.000009,-0.006629,0.052398,0.008691,0.998566,-0.305580,0.052271,0.011920,0.997854,-0.002779,0.052610,0.408698,0.996569,-0.006626,0.052398,0.008693,-0.305578,0.052271,0.011927,-0.002784,0.052610,0.408690,-0.488693,0.051776,0.284200
4,0.033333,0.111212,-0.546900,-0.071048,-0.826731,-0.104996,0.052427,0.143103,0.000010,-0.006629,0.052401,0.008690,0.998182,-0.305581,0.052273,0.011921,0.997936,-0.002778,0.052608,0.408698,0.996178,-0.006627,0.052401,0.008694,-0.305579,0.052273,0.011927,-0.002782,0.052608,0.408688,-0.488700,0.051767,0.284187
5,0.041667,0.111202,-0.546906,-0.071043,-0.826729,-0.104992,0.052426,0.143101,0.000010,-0.006627,0.052399,0.008686,0.998204,-0.305578,0.052277,0.011922,0.997910,-0.002770,0.052602,0.408694,0.996539,-0.006626,0.052399,0.008690,-0.305576,0.052277,0.011927,-0.002774,0.052602,0.408685,-0.488688,0.051756,0.284198
