Format Version,1.21,Take Name,Take 2019-12-05 04.47.13 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 04.47.13 PM,Total Frames in Take,565,Total Exported Frames,565,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111201,-0.546921,-0.071082,-0.826716,-0.104935,0.052332,0.143640,0.000042,-0.006576,0.052317,0.009221,0.988761,-0.305527,0.052176,0.012471,0.991473,-0.002700,0.052504,0.409229,0.988548,-0.006606,0.052317,0.009268,-0.305525,0.052176,0.012435,-0.002673,0.052504,0.409218,-0.487052,0.037138,0.349851
1,0.008333,0.111206,-0.546921,-0.071086,-0.826715,-0.104939,0.052332,0.143642,0.000039,-0.006581,0.052317,0.009223,0.989983,-0.305532,0.052173,0.012473,0.991771,-0.002705,0.052507,0.409231,0.988839,-0.006608,0.052317,0.009267,-0.305532,0.052173,0.012437,-0.002678,0.052507,0.409222,-0.487046,0.037133,0.349839
2,0.016667,0.111202,-0.546918,-0.071087,-0.826717,-0.104940,0.052330,0.143642,0.000040,-0.006581,0.052317,0.009223,0.989338,-0.305532,0.052173,0.012471,0.991950,-0.002707,0.052502,0.409231,0.989044,-0.006609,0.052317,0.009268,-0.305530,0.052173,0.012437,-0.002681,0.052502,0.409221,-0.487052,0.037129,0.349851
3,0.025000,0.111200,-0.546920,-0.071083,-0.826716,-0.104940,0.052336,0.143640,0.000041,-0.006582,0.052321,0.009222,0.989297,-0.305533,0.052180,0.012471,0.991391,-0.002706,0.052508,0.409229,0.988928,-0.006611,0.052321,0.009266,-0.305530,0.052180,0.012435,-0.002680,0.052508,0.409220,-0.487044,0.037125,0.349853
4,0.033333,0.111204,-0.546919,-0.071084,-0.826717,-0.104941,0.052336,0.143639,0.000040,-0.006582,0.052320,0.009220,0.989279,-0.305533,0.052178,0.012468,0.991845,-0.002708,0.052509,0.409228,0.988612,-0.006609,0.052320,0.009266,-0.305531,0.052178,0.012433,-0.002681,0.052509,0.409217,-0.487059,0.037129,0.349862
5,0.041667,0.111200,-0.546917,-0.071085,-0.826718,-0.104941,0.052332,0.143636,0.000038,-0.006581,0.052318,0.009218,0.989923,-0.305532,0.052175,0.012465,0.991890,-0.002708,0.052503,0.409225,0.989390,-0.006608,0.052318,0.009260,-0.305530,0.052175,0.012430,-0.002683,0.052503,0.409217,-0.487080,0.037114,0.349857
