Format Version,1.21,Take Name,Take 2019-12-05 04.25.58 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-12-05 04.25.58 PM,Total Frames in Take,551,Total Exported Frames,551,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E357013DE,8392B20CF49E357013DE,8392B20CF49E357013DE
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.111624,-0.547125,-0.071105,-0.826522,-0.104524,0.05198,0.143241,0.000009,-0.006232,0.051912,0.008773,0.99667,-0.305181,0.051629,0.01217,0.998976,-0.002159,0.0524,0.408778,0.997485,-0.00623,0.051912,0.008784,-0.305186,0.051629,0.012167,-0.002156,0.0524,0.40877,-0.475736,0.034431,0.342582
1,0.008333,0.111621,-0.547126,-0.071097,-0.826522,-0.104519,0.051984,0.143239,0.00001,-0.006227,0.051914,0.008772,0.996781,-0.305177,0.051636,0.012169,0.998849,-0.002154,0.052403,0.408777,0.996517,-0.006226,0.051914,0.008783,-0.305179,0.051636,0.012168,-0.002153,0.052403,0.408767,-0.47573,0.03443,0.342597
2,0.016667,0.111623,-0.547124,-0.071106,-0.826523,-0.104517,0.051984,0.143237,0.000013,-0.006225,0.051916,0.00877,0.995973,-0.305174,0.051633,0.012167,0.998555,-0.002152,0.052403,0.408775,0.995884,-0.006222,0.051916,0.008784,-0.305177,0.051633,0.012165,-0.002151,0.052403,0.408763,-0.475726,0.034424,0.342584
3,0.025,0.111622,-0.547129,-0.071105,-0.82652,-0.104516,0.051983,0.143239,0.00001,-0.006225,0.051914,0.00877,0.99683,-0.305174,0.051632,0.01217,0.999195,-0.002148,0.052402,0.408775,0.996219,-0.006226,0.051914,0.008783,-0.305176,0.051632,0.012168,-0.002146,0.052402,0.408764,-0.475727,0.034425,0.3426
4,0.033333,0.111621,-0.547124,-0.071105,-0.826523,-0.104514,0.051981,0.143241,0.000012,-0.006222,0.051913,0.008773,0.996319,-0.305171,0.051631,0.01217,0.998879,-0.002149,0.052399,0.408779,0.995623,-0.006222,0.051913,0.008788,-0.305173,0.051631,0.012168,-0.002148,0.052399,0.408766,-0.475727,0.034424,0.342596
5,0.041667,0.111627,-0.547128,-0.0711,-0.82652,-0.104512,0.051983,0.143239,0.00001,-0.006221,0.051913,0.00877,0.996346,-0.30517,0.051631,0.01217,0.999184,-0.002144,0.052405,0.408776,0.997042,-0.006219,0.051913,0.008784,-0.305174,0.051631,0.012166,-0.002142,0.052405,0.408766,-0.475723,0.034421,0.34259
6,0.05,0.111623,-0.547127,-0.071102,-0.826521,-0.10451,0.051984,0.143237,0.000014,-0.006218,0.051915,0.008769,0.99534,-0.305168,0.051634,0.012168,0.998387,-0.002143,0.052404,0.408774,0.995612,-0.006215,0.051915,0.008785,-0.305172,0.051634,0.012165,-0.002142,0.052404,0.408761,-0.475723,0.034419,0.342585
7,0.058333,0.111623,-0.547125,-0.0711,-0.826522,-0.104509,0.051982,0.143235,0.000009,-0.006217,0.051912,0.008768,0.997016,-0.305166,0.051632,0.012165,0.999128,-0.002143,0.052401,0.408773,0.997202,-0.006215,0.051912,0.008778,-0.305169,0.051632,0.012163,-0.002142,0.052401,0.408764,-0.475718,0.034418,0.342577
8,0.066667,0.111625,-0.547123,-0.071101,-0.826524,-0.104512,0.051977,0.143236,0.000011,-0.006219,0.051908,0.008769,0.99636,-0.305169,0.051627,0.012165,0.999005,-0.002148,0.052398,0.408775,0.99655,-0.006218,0.051908,0.008783,-0.305172,0.051627,0.012162,-0.002146,0.052398,0.408764,-0.475721,0.034417,0.342578
9,0.075,0.111627,-0.547123,-0.071099,-0.826523,-0.104517,0.051976,0.143235,0.000009,-0.006224,0.051905,0.008768,0.996748,-0.305173,0.051624,0.012164,0.999329,-0.002153,0.052397,0.408774,0.996919,-0.006223,0.051905,0.008781,-0.305176,0.051624,0.012161,-0.00215,0.052397,0.408764,-0.475717,0.034419,0.342584
10,0.083333,0.111624,-0.547128,-0.071093,-0.826521,-0.104516,0.051979,0.143235,0.00001,-0.006225,0.051906,0.008767,0.996215,-0.305174,0.051629,0.012166,0.99905,-0.00215,0.0524,0.408772,0.997016,-0.006223,0.051906,0.008781,-0.305179,0.051629,0.012163,-0.002147,0.0524,0.408763,-0.475716,0.034414,0.342583
11,0.091667,0.111624,-0.547127,-0.071099,-0.826521,-0.104519,0.051981,0.143234,0.00001,-0.006228,0.051911,0.008766,0.996796,-0.305177,0.051631,0.012165,0.999091,-0.002153,0.052402,0.408772,0.996662,-0.006227,0.051911,0.008779,-0.305179,0.051631,0.012162,-0.002152,0.052402,0.408762,-0.475713,0.034416,0.34258
12,0.1,0.111626,-0.547128,-0.071099,-0.82652,-0.104524,0.051977,0.143235,0.00001,-0.006233,0.051906,0.008767,0.997139,-0.305182,0.051626,0.012166,0.999031,-0.002156,0.052398,0.408772,0.996267,-0.006233,0.051906,0.008779,-0.305182,0.051626,0.012166,-0.002156,0.052398,0.408761,-0.47571,0.034414,0.34257
