Format Version,1.21,Take Name,Take 2019-12-05 04.58.44 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 04.58.44 PM,Total Frames in Take,614,Total Exported Frames,614,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5036,Unlabeled:5036,Unlabeled:5036,Unlabeled:5037,Unlabeled:5037,Unlabeled:5037
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E357013AC","8392B20CF49E357013AC","8392B20CF49E357013AC","8392B20CF49E357013AD","8392B20CF49E357013AD","8392B20CF49E357013AD"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.110497,-0.546988,-0.070116,-0.826848,-0.104528,0.052754,0.143355,0.000757,-0.006150,0.052519,0.008950,0.865767,-0.305101,0.053096,0.012155,0.718893,-0.002333,0.052647,0.408958,0.847502,-0.006461,0.052520,0.008759,-0.304353,0.053095,0.012637,-0.002648,0.052647,0.408745,-0.483695,0.043876,0.325690,,,,,,
1,0.008333,0.110535,-0.546988,-0.070183,-0.826838,-0.104545,0.052741,0.143353,0.000719,-0.006170,0.052523,0.008947,0.873586,-0.305121,0.053053,0.012158,0.732863,-0.002345,0.052647,0.408955,0.854509,-0.006464,0.052523,0.008760,-0.304415,0.053052,0.012620,-0.002651,0.052647,0.408749,-0.483691,0.043879,0.325681,,,,,,
2,0.016667,0.110616,-0.546988,-0.070314,-0.826815,-0.104573,0.052706,0.143338,0.000649,-0.006204,0.052519,0.008928,0.887131,-0.305155,0.052957,0.012152,0.759391,-0.002362,0.052643,0.408936,0.866799,-0.006464,0.052519,0.008756,-0.304526,0.052956,0.012574,-0.002647,0.052643,0.408742,-0.483677,0.043896,0.325675,,,,,,
3,0.025000,0.110652,-0.546971,-0.070357,-0.826818,-0.104610,0.052700,0.143308,0.000536,-0.006237,0.052522,0.008900,0.906350,-0.305188,0.052926,0.012116,0.801394,-0.002405,0.052650,0.408908,0.890104,-0.006457,0.052522,0.008757,-0.304673,0.052926,0.012460,-0.002643,0.052651,0.408745,-0.483672,0.043900,0.325662,,,,,,
4,0.033333,0.110705,-0.546962,-0.070445,-0.826810,-0.104630,0.052679,0.143293,0.000484,-0.006257,0.052523,0.008885,0.915816,-0.305209,0.052866,0.012103,0.821022,-0.002423,0.052649,0.408893,0.900140,-0.006456,0.052523,0.008754,-0.304748,0.052865,0.012414,-0.002641,0.052649,0.408742,-0.483666,0.043896,0.325639,,,,,,
5,0.041667,0.110532,-0.547037,-0.070184,-0.826805,-0.104438,0.052741,0.143432,0.001037,-0.006079,0.052521,0.009014,0.821503,-0.305030,0.053053,0.012260,0.614026,-0.002207,0.052648,0.409021,0.786451,-0.006450,0.052521,0.008754,-0.303984,0.053052,0.012971,-0.002635,0.052649,0.408738,-0.483657,0.043903,0.325643,,,,,,
