Format Version,1.21,Take Name,Take 2019-12-05 04.00.54 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-12-05 04.00.54 PM,Total Frames in Take,882,Total Exported Frames,882,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5149,Unlabeled:5149,Unlabeled:5149,Unlabeled:5150,Unlabeled:5150,Unlabeled:5150
,,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E35701412,8392B20CF49E35701412,8392B20CF49E35701412,8392B20CF49E3570141D,8392B20CF49E3570141D,8392B20CF49E3570141D,8392B20CF49E3570141E,8392B20CF49E3570141E,8392B20CF49E3570141E
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.111549,-0.542977,-0.070687,-0.829298,-0.099978,0.052741,0.133608,0.000197,-0.00035,0.052766,0.000127,0.96284,-0.299318,0.052554,0.000542,0.946345,-0.000267,0.052903,0.400154,0.943271,-0.000319,0.052766,0.000097,-0.299424,0.052554,0.000442,-0.000192,0.052903,0.400285,-0.50918,0.057009,0.319039,,,,,,
1,0.008333,0.111552,-0.542968,-0.070715,-0.829302,-0.099981,0.052737,0.133601,0.000207,-0.00035,0.052771,0.000122,0.961607,-0.299319,0.052543,0.000533,0.942269,-0.000273,0.052897,0.400149,0.940936,-0.000318,0.052771,0.000098,-0.299434,0.052543,0.000424,-0.000191,0.052897,0.400283,-0.508879,0.056663,0.319005,,,,,,
2,0.016667,0.111329,-0.54294,-0.070347,-0.829381,-0.099918,0.052824,0.133593,0.000139,-0.000263,0.052771,0.000133,0.975313,-0.299231,0.0528,0.000489,0.967195,-0.000258,0.0529,0.400159,0.953102,-0.000318,0.052771,0.000101,-0.299244,0.0528,0.000398,-0.00019,0.0529,0.400283,-0.508581,0.056425,0.319092,,,,,,
3,0.025,0.111343,-0.542932,-0.070357,-0.829384,-0.099916,0.052822,0.13359,0.000144,-0.000259,0.052771,0.000131,0.973338,-0.299227,0.05279,0.000482,0.966137,-0.000261,0.052904,0.400158,0.952529,-0.000318,0.052771,0.000097,-0.299235,0.05279,0.000392,-0.000193,0.052904,0.400284,-0.508329,0.056214,0.319127,,,,,,
4,0.033333,0.111335,-0.542938,-0.07034,-0.829383,-0.099918,0.052823,0.133593,0.000148,-0.000262,0.052767,0.000133,0.973241,-0.299231,0.052798,0.000486,0.966018,-0.000261,0.052903,0.400159,0.949817,-0.000317,0.052767,0.000094,-0.299244,0.052798,0.000394,-0.000191,0.052903,0.400292,-0.508119,0.056099,0.319195,,,,,,
5,0.041667,0.111337,-0.542939,-0.070358,-0.82938,-0.099919,0.052819,0.133589,0.000141,-0.000264,0.052769,0.000128,0.974884,-0.299233,0.052789,0.000484,0.967117,-0.000259,0.052898,0.400154,0.952216,-0.000318,0.052769,0.000094,-0.299246,0.052789,0.000394,-0.000191,0.052898,0.40028,-0.5079,0.056067,0.319372,,,,,,
6,0.05,0.111329,-0.542942,-0.070362,-0.829379,-0.099917,0.052819,0.133587,0.000139,-0.000263,0.05277,0.000126,0.975536,-0.299232,0.052792,0.000484,0.966923,-0.000256,0.052893,0.400152,0.953479,-0.000319,0.05277,0.000097,-0.299244,0.052792,0.000392,-0.000186,0.052893,0.400275,-0.507751,0.056048,0.319522,,,,,,
7,0.058333,0.111337,-0.542942,-0.070348,-0.829379,-0.099914,0.052824,0.133589,0.000142,-0.00026,0.052771,0.000128,0.973837,-0.299228,0.052797,0.000486,0.966871,-0.000254,0.052905,0.400154,0.953046,-0.000317,0.052771,0.000093,-0.299237,0.052797,0.000397,-0.000187,0.052905,0.40028,-0.507597,0.056047,0.31968,,,,,,
8,0.066667,0.111339,-0.542939,-0.070355,-0.82938,-0.099914,0.052825,0.133586,0.000141,-0.000259,0.052773,0.000126,0.975055,-0.299228,0.052795,0.000481,0.966592,-0.000255,0.052905,0.400152,0.952346,-0.000315,0.052773,0.000095,-0.299241,0.052795,0.000389,-0.000185,0.052905,0.400278,-0.507417,0.056045,0.319895,,,,,,
9,0.075,0.111338,-0.542939,-0.070345,-0.829381,-0.099913,0.052822,0.133587,0.000144,-0.000258,0.052768,0.000127,0.97383,-0.299226,0.052795,0.000482,0.966156,-0.000255,0.052904,0.400153,0.952152,-0.000316,0.052768,0.000093,-0.299236,0.052795,0.00039,-0.000186,0.052904,0.40028,-0.50729,0.056022,0.320082,,,,,,
10,0.083333,0.111332,-0.542943,-0.070339,-0.82938,-0.099914,0.052825,0.133587,0.000141,-0.00026,0.052769,0.000126,0.975037,-0.299229,0.052801,0.000483,0.966986,-0.000254,0.052904,0.400153,0.952372,-0.000315,0.052769,0.000094,-0.299242,0.052801,0.000392,-0.000185,0.052904,0.400278,-0.507172,0.055961,0.320295,,,,,,
11,0.091667,0.111335,-0.542942,-0.070337,-0.82938,-0.099913,0.052828,0.133596,0.000144,-0.000259,0.052771,0.000135,0.973677,-0.299227,0.052803,0.000491,0.966804,-0.000254,0.052909,0.400162,0.95124,-0.000313,0.052771,0.000097,-0.299239,0.052803,0.000402,-0.000186,0.052909,0.400291,-0.507082,0.055902,0.320497,,,,,,
