Format Version,1.21,Take Name,Take 2019-12-05 05.09.59 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 05.09.59 PM,Total Frames in Take,722,Total Exported Frames,722,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111295,-0.547058,-0.070951,-0.826624,-0.105032,0.052362,0.143430,0.000088,-0.006712,0.052288,0.008983,0.971885,-0.305662,0.052187,0.012318,0.984048,-0.002721,0.052611,0.408989,0.978188,-0.006744,0.052288,0.008897,-0.305604,0.052187,0.012353,-0.002747,0.052611,0.409040,-0.467839,0.026028,0.330505
1,0.008333,0.111296,-0.547057,-0.070953,-0.826624,-0.105033,0.052362,0.143431,0.000083,-0.006713,0.052289,0.008984,0.973036,-0.305663,0.052187,0.012319,0.985818,-0.002723,0.052611,0.408990,0.979246,-0.006742,0.052289,0.008901,-0.305610,0.052187,0.012351,-0.002747,0.052611,0.409041,-0.467850,0.026031,0.330508
2,0.016667,0.111298,-0.547057,-0.070961,-0.826623,-0.105033,0.052364,0.143428,0.000084,-0.006713,0.052293,0.008981,0.972641,-0.305663,0.052186,0.012316,0.985304,-0.002723,0.052613,0.408987,0.979038,-0.006744,0.052293,0.008897,-0.305609,0.052186,0.012349,-0.002747,0.052613,0.409038,-0.467855,0.026042,0.330500
3,0.025000,0.111297,-0.547053,-0.070966,-0.826626,-0.105032,0.052362,0.143428,0.000084,-0.006711,0.052293,0.008982,0.972705,-0.305661,0.052184,0.012314,0.985296,-0.002723,0.052610,0.408988,0.979123,-0.006742,0.052293,0.008898,-0.305606,0.052184,0.012346,-0.002747,0.052610,0.409038,-0.467848,0.026028,0.330508
4,0.033333,0.111293,-0.547060,-0.070952,-0.826623,-0.105033,0.052364,0.143429,0.000084,-0.006714,0.052290,0.008982,0.972854,-0.305664,0.052190,0.012318,0.985337,-0.002722,0.052611,0.408988,0.978576,-0.006743,0.052290,0.008896,-0.305610,0.052190,0.012352,-0.002748,0.052611,0.409038,-0.467850,0.026036,0.330502
5,0.041667,0.111299,-0.547058,-0.070945,-0.826624,-0.105033,0.052363,0.143428,0.000084,-0.006713,0.052287,0.008981,0.972619,-0.305663,0.052188,0.012315,0.985244,-0.002723,0.052615,0.408987,0.978881,-0.006743,0.052287,0.008896,-0.305608,0.052188,0.012348,-0.002748,0.052615,0.409038,-0.467835,0.026028,0.330503
