Format Version,1.21,Take Name,Take 2019-12-05 05.09.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 05.09.07 PM,Total Frames in Take,708,Total Exported Frames,708,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111232,-0.546954,-0.071103,-0.826688,-0.104959,0.052449,0.143503,0.000036,-0.006612,0.052434,0.009075,0.992020,-0.305563,0.052274,0.012350,0.992937,-0.002702,0.052638,0.409082,0.987788,-0.006613,0.052434,0.009096,-0.305553,0.052274,0.012361,-0.002710,0.052638,0.409051,-0.481086,0.027617,0.343339
1,0.008333,0.111231,-0.546957,-0.071091,-0.826687,-0.104960,0.052448,0.143504,0.000030,-0.006614,0.052430,0.009076,0.993514,-0.305564,0.052276,0.012352,0.994513,-0.002702,0.052638,0.409083,0.989510,-0.006613,0.052430,0.009094,-0.305558,0.052276,0.012362,-0.002709,0.052638,0.409055,-0.481106,0.027606,0.343333
2,0.016667,0.111232,-0.546954,-0.071100,-0.826689,-0.104960,0.052444,0.143504,0.000034,-0.006613,0.052429,0.009077,0.992620,-0.305564,0.052270,0.012352,0.993581,-0.002704,0.052633,0.409084,0.988616,-0.006614,0.052429,0.009097,-0.305555,0.052271,0.012362,-0.002711,0.052633,0.409054,-0.481092,0.027602,0.343327
3,0.025000,0.111229,-0.546957,-0.071097,-0.826687,-0.104960,0.052446,0.143509,0.000034,-0.006614,0.052430,0.009082,0.992691,-0.305565,0.052274,0.012358,0.993749,-0.002702,0.052634,0.409089,0.988042,-0.006613,0.052430,0.009102,-0.305557,0.052274,0.012369,-0.002711,0.052634,0.409057,-0.481112,0.027597,0.343331
4,0.033333,0.111230,-0.546957,-0.071097,-0.826687,-0.104957,0.052448,0.143511,0.000035,-0.006611,0.052432,0.009083,0.992248,-0.305562,0.052275,0.012359,0.993131,-0.002699,0.052637,0.409090,0.988344,-0.006613,0.052432,0.009102,-0.305552,0.052275,0.012370,-0.002707,0.052637,0.409059,-0.481087,0.027601,0.343345
5,0.041667,0.111229,-0.546957,-0.071103,-0.826687,-0.104956,0.052451,0.143510,0.000035,-0.006611,0.052437,0.009082,0.992624,-0.305561,0.052277,0.012359,0.992985,-0.002698,0.052638,0.409089,0.988142,-0.006611,0.052437,0.009100,-0.305551,0.052277,0.012372,-0.002707,0.052638,0.409059,-0.481079,0.027606,0.343340
