Format Version,1.21,Take Name,Take 2019-12-05 05.11.00 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 05.11.00 PM,Total Frames in Take,766,Total Exported Frames,766,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111242,-0.546964,-0.071108,-0.826680,-0.104969,0.052446,0.143478,0.000029,-0.006626,0.052432,0.009048,0.993760,-0.305576,0.052266,0.012331,0.994755,-0.002706,0.052641,0.409055,0.989476,-0.006624,0.052432,0.009066,-0.305571,0.052266,0.012340,-0.002713,0.052641,0.409027,-0.580724,0.030070,0.340104
1,0.008333,0.111243,-0.546965,-0.071116,-0.826679,-0.104969,0.052448,0.143475,0.000028,-0.006626,0.052436,0.009045,0.994118,-0.305577,0.052266,0.012329,0.995332,-0.002704,0.052643,0.409052,0.989592,-0.006622,0.052436,0.009063,-0.305573,0.052267,0.012338,-0.002712,0.052643,0.409024,-0.580739,0.030065,0.340112
2,0.016667,0.111243,-0.546965,-0.071108,-0.826679,-0.104968,0.052447,0.143470,0.000032,-0.006625,0.052432,0.009040,0.993492,-0.305576,0.052266,0.012324,0.994271,-0.002704,0.052642,0.409047,0.988314,-0.006619,0.052432,0.009058,-0.305572,0.052266,0.012336,-0.002714,0.052642,0.409016,-0.580733,0.030060,0.340105
3,0.025000,0.111241,-0.546965,-0.071107,-0.826679,-0.104971,0.052444,0.143473,0.000028,-0.006628,0.052429,0.009043,0.994364,-0.305578,0.052265,0.012327,0.995101,-0.002706,0.052639,0.409050,0.989614,-0.006624,0.052429,0.009060,-0.305574,0.052265,0.012337,-0.002715,0.052639,0.409022,-0.580729,0.030071,0.340097
4,0.033333,0.111241,-0.546964,-0.071107,-0.826680,-0.104971,0.052446,0.143470,0.000030,-0.006628,0.052432,0.009040,0.993805,-0.305579,0.052267,0.012323,0.994747,-0.002707,0.052641,0.409047,0.989208,-0.006622,0.052432,0.009058,-0.305575,0.052267,0.012334,-0.002716,0.052641,0.409018,-0.580739,0.030056,0.340100
5,0.041667,0.111243,-0.546968,-0.071102,-0.826678,-0.104970,0.052444,0.143469,0.000031,-0.006628,0.052427,0.009038,0.993693,-0.305578,0.052264,0.012323,0.994449,-0.002705,0.052640,0.409045,0.988947,-0.006621,0.052427,0.009056,-0.305575,0.052264,0.012335,-0.002714,0.052640,0.409016,-0.580747,0.030055,0.340105
