Format Version,1.21,Take Name,Take 2019-12-05 03.58.12 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-12-05 03.58.12 PM,Total Frames in Take,738,Total Exported Frames,738,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3570138B,8392B20CF49E3570138B,8392B20CF49E3570138B
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.111405,-0.543067,-0.070387,-0.829284,-0.09985,0.052671,0.13407,0.000022,-0.000237,0.052616,0.000578,0.995999,-0.299206,0.052605,0.001028,0.993771,-0.000107,0.052794,0.400604,0.993555,-0.000223,0.052616,0.000578,-0.299207,0.052605,0.001045,-0.00012,0.052794,0.400587,-0.60875,0.034585,0.315282
1,0.008333,0.111407,-0.543062,-0.070384,-0.829288,-0.099847,0.052672,0.134071,0.000021,-0.000232,0.052615,0.000581,0.996129,-0.299201,0.052604,0.001026,0.993686,-0.000108,0.052795,0.400607,0.994114,-0.000217,0.052615,0.000579,-0.299203,0.052604,0.001044,-0.000121,0.052795,0.400591,-0.608748,0.034587,0.315277
2,0.016667,0.111408,-0.543064,-0.070387,-0.829286,-0.099848,0.052672,0.134073,0.000022,-0.000234,0.052616,0.000582,0.995466,-0.299202,0.052604,0.001029,0.993544,-0.000107,0.052796,0.400608,0.994203,-0.000218,0.052616,0.000581,-0.299207,0.052604,0.001046,-0.000119,0.052796,0.400592,-0.608755,0.034593,0.315275
3,0.025,0.111406,-0.543066,-0.070378,-0.829286,-0.099848,0.052673,0.134072,0.000019,-0.000234,0.052614,0.000581,0.996718,-0.299203,0.052607,0.001029,0.994084,-0.000107,0.052797,0.400607,0.994729,-0.00022,0.052614,0.000578,-0.299204,0.052607,0.001046,-0.00012,0.052797,0.400593,-0.608758,0.034587,0.315271
4,0.033333,0.111411,-0.543064,-0.07039,-0.829285,-0.099848,0.052672,0.134076,0.000022,-0.000234,0.052617,0.000584,0.995526,-0.299202,0.052602,0.001032,0.993652,-0.000106,0.052797,0.400611,0.993954,-0.000218,0.052617,0.000585,-0.299206,0.052602,0.001049,-0.000119,0.052797,0.400594,-0.608774,0.034584,0.315275
5,0.041667,0.111406,-0.543061,-0.070384,-0.829289,-0.099846,0.052674,0.134072,0.000019,-0.000232,0.052618,0.000582,0.996349,-0.2992,0.052608,0.001027,0.994654,-0.000108,0.052797,0.400608,0.994811,-0.000219,0.052618,0.000582,-0.299202,0.052608,0.001041,-0.000119,0.052797,0.400594,-0.608793,0.034552,0.315268
6,0.05,0.111407,-0.543064,-0.070396,-0.829286,-0.099847,0.05267,0.134071,0.000021,-0.000233,0.052617,0.000579,0.995895,-0.299202,0.0526,0.001027,0.993771,-0.000106,0.052792,0.400606,0.994747,-0.000217,0.052617,0.000577,-0.299206,0.0526,0.001044,-0.000118,0.052792,0.400591,-0.60881,0.03454,0.315274
7,0.058333,0.111409,-0.543063,-0.070392,-0.829286,-0.09985,0.052671,0.13407,0.000022,-0.000236,0.052617,0.000579,0.995679,-0.299205,0.052602,0.001026,0.994051,-0.00011,0.052795,0.400605,0.993723,-0.000223,0.052617,0.000581,-0.299207,0.052602,0.001042,-0.000121,0.052795,0.400588,-0.608823,0.034523,0.315276
8,0.066667,0.111408,-0.543064,-0.070393,-0.829286,-0.099854,0.05267,0.134074,0.000022,-0.00024,0.052616,0.000583,0.995627,-0.299209,0.052601,0.001031,0.993596,-0.000113,0.052794,0.400609,0.994125,-0.000224,0.052616,0.000582,-0.299212,0.052601,0.001047,-0.000125,0.052794,0.400593,-0.608845,0.034504,0.315267
9,0.075,0.111413,-0.543064,-0.070394,-0.829285,-0.099854,0.052671,0.134072,0.00002,-0.00024,0.052617,0.00058,0.996014,-0.299208,0.052599,0.001028,0.9942,-0.000113,0.052796,0.400607,0.994975,-0.000225,0.052617,0.000579,-0.299212,0.052599,0.001043,-0.000124,0.052796,0.400593,-0.608862,0.034501,0.315275
10,0.083333,0.111409,-0.543067,-0.070388,-0.829284,-0.099854,0.052669,0.134069,0.000022,-0.000242,0.052614,0.000577,0.995623,-0.29921,0.052601,0.001027,0.993529,-0.000112,0.052794,0.400604,0.994531,-0.000225,0.052614,0.000576,-0.299214,0.052601,0.001044,-0.000124,0.052794,0.400589,-0.608866,0.034488,0.315275
11,0.091667,0.111409,-0.543065,-0.070393,-0.829285,-0.099859,0.05267,0.13407,0.000021,-0.000246,0.052616,0.000578,0.995906,-0.299214,0.052601,0.001027,0.994144,-0.000117,0.052794,0.400604,0.994066,-0.000232,0.052616,0.000578,-0.299216,0.052601,0.001042,-0.000128,0.052794,0.400588,-0.608883,0.034482,0.315279
12,0.1,0.111408,-0.543066,-0.070396,-0.829284,-0.09986,0.052671,0.134072,0.000021,-0.000247,0.052618,0.00058,0.995783,-0.299215,0.0526,0.00103,0.994215,-0.000117,0.052794,0.400606,0.994416,-0.000233,0.052618,0.000581,-0.299219,0.0526,0.001045,-0.000128,0.052794,0.400591,-0.608896,0.034474,0.315287
