Format Version,1.21,Take Name,Take 2019-12-05 04.02.04 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 04.02.04 PM,Total Frames in Take,784,Total Exported Frames,784,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003,Unlabeled:5024,Unlabeled:5024,Unlabeled:5024,Unlabeled:5025,Unlabeled:5025,Unlabeled:5025,Unlabeled:5027,Unlabeled:5027,Unlabeled:5027,Unlabeled:5028,Unlabeled:5028,Unlabeled:5028
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E357013A0","8392B20CF49E357013A0","8392B20CF49E357013A0","8392B20CF49E357013A1","8392B20CF49E357013A1","8392B20CF49E357013A1","8392B20CF49E357013A3","8392B20CF49E357013A3","8392B20CF49E357013A3","8392B20CF49E357013A4","8392B20CF49E357013A4","8392B20CF49E357013A4"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111252,-0.543000,-0.070457,-0.829343,-0.099878,0.052903,0.133753,0.000019,-0.000247,0.052890,0.000275,0.998234,-0.299215,0.052892,0.000684,0.993809,-0.000173,0.052927,0.400302,0.993429,-0.000242,0.052890,0.000269,-0.299205,0.052892,0.000704,-0.000188,0.052927,0.400287,-0.633390,0.079249,0.275671,,,,,,,,,,,,
1,0.008333,0.111247,-0.543001,-0.070463,-0.829342,-0.099881,0.052903,0.133751,0.000022,-0.000250,0.052893,0.000272,0.997150,-0.299219,0.052893,0.000682,0.994025,-0.000173,0.052924,0.400298,0.992084,-0.000245,0.052893,0.000272,-0.299210,0.052893,0.000701,-0.000187,0.052924,0.400279,-0.633095,0.079416,0.275729,,,,,,,,,,,,
2,0.016667,0.111249,-0.543005,-0.070459,-0.829340,-0.099882,0.052905,0.133749,0.000020,-0.000252,0.052893,0.000270,0.998264,-0.299221,0.052895,0.000682,0.993950,-0.000173,0.052928,0.400296,0.993108,-0.000246,0.052893,0.000264,-0.299211,0.052895,0.000703,-0.000189,0.052928,0.400280,-0.632804,0.079564,0.275769,,,,,,,,,,,,
3,0.025000,0.111245,-0.543012,-0.070458,-0.829336,-0.099883,0.052905,0.133742,0.000020,-0.000255,0.052892,0.000261,0.998134,-0.299224,0.052896,0.000678,0.994230,-0.000169,0.052926,0.400287,0.992907,-0.000249,0.052892,0.000257,-0.299215,0.052896,0.000698,-0.000184,0.052926,0.400270,-0.632508,0.079741,0.275852,-0.515371,0.302477,0.110633,,,,,,,,,
4,0.033333,0.111250,-0.543008,-0.070465,-0.829338,-0.099886,0.052902,0.133740,0.000022,-0.000257,0.052892,0.000260,0.996934,-0.299226,0.052891,0.000674,0.993753,-0.000174,0.052925,0.400286,0.992646,-0.000255,0.052892,0.000259,-0.299215,0.052891,0.000692,-0.000187,0.052925,0.400269,-0.632176,0.079950,0.275964,,,,,,,,,,,,
5,0.041667,0.111245,-0.543009,-0.070463,-0.829337,-0.099887,0.052904,0.133744,0.000021,-0.000259,0.052894,0.000263,0.997526,-0.299228,0.052895,0.000679,0.994561,-0.000175,0.052925,0.400289,0.992497,-0.000253,0.052894,0.000263,-0.299220,0.052895,0.000697,-0.000188,0.052925,0.400271,-0.631842,0.080177,0.276087,,,,,,,,,,,,
