Format Version,1.21,Take Name,Take 2019-12-05 04.09.50 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 04.09.50 PM,Total Frames in Take,874,Total Exported Frames,874,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111181,-0.546992,-0.071323,-0.826651,-0.104241,0.052557,0.143049,0.000185,-0.005915,0.052614,0.008606,0.965254,-0.304866,0.052361,0.011929,0.931667,-0.001941,0.052694,0.408613,0.964066,-0.006009,0.052614,0.008561,-0.304689,0.052362,0.012032,-0.002018,0.052694,0.408558,-0.577561,0.046452,0.318364
1,0.008333,0.111182,-0.546996,-0.071323,-0.826648,-0.104246,0.052553,0.143045,0.000185,-0.005922,0.052610,0.008601,0.965351,-0.304872,0.052358,0.011927,0.931727,-0.001944,0.052691,0.408607,0.964297,-0.006016,0.052610,0.008556,-0.304696,0.052358,0.012029,-0.002020,0.052691,0.408554,-0.577576,0.046446,0.318362
2,0.016667,0.111181,-0.546993,-0.071319,-0.826650,-0.104251,0.052552,0.143044,0.000187,-0.005925,0.052608,0.008601,0.964837,-0.304876,0.052358,0.011924,0.931764,-0.001951,0.052690,0.408608,0.963418,-0.006019,0.052608,0.008559,-0.304700,0.052358,0.012026,-0.002027,0.052690,0.408551,-0.577591,0.046460,0.318354
3,0.025000,0.111177,-0.546996,-0.071328,-0.826648,-0.104251,0.052554,0.143043,0.000185,-0.005927,0.052613,0.008599,0.965001,-0.304877,0.052359,0.011924,0.932323,-0.001948,0.052689,0.408605,0.963775,-0.006020,0.052613,0.008557,-0.304703,0.052359,0.012025,-0.002023,0.052689,0.408549,-0.577576,0.046479,0.318350
4,0.033333,0.111178,-0.546995,-0.071319,-0.826650,-0.104249,0.052553,0.143038,0.000184,-0.005925,0.052609,0.008594,0.965467,-0.304875,0.052360,0.011918,0.932237,-0.001948,0.052689,0.408601,0.964416,-0.006018,0.052609,0.008550,-0.304700,0.052360,0.012020,-0.002024,0.052689,0.408547,-0.577586,0.046475,0.318337
5,0.041667,0.111177,-0.546996,-0.071323,-0.826649,-0.104243,0.052555,0.143035,0.000186,-0.005919,0.052613,0.008591,0.964908,-0.304869,0.052362,0.011916,0.931395,-0.001940,0.052691,0.408597,0.964118,-0.006014,0.052612,0.008546,-0.304691,0.052362,0.012018,-0.002016,0.052691,0.408543,-0.577543,0.046467,0.318303
