Format Version,1.21,Take Name,Take 2019-12-05 04.53.04 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 04.53.04 PM,Total Frames in Take,694,Total Exported Frames,694,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111273,-0.546868,-0.071130,-0.826737,-0.104934,0.052424,0.143122,0.000021,-0.006561,0.052417,0.008714,0.995470,-0.305512,0.052227,0.011931,0.995384,-0.002729,0.052627,0.408722,0.993544,-0.006564,0.052417,0.008724,-0.305504,0.052227,0.011937,-0.002734,0.052627,0.408706,-0.535616,0.050603,0.290381
1,0.008333,0.111263,-0.546876,-0.071132,-0.826733,-0.104933,0.052420,0.143124,0.000019,-0.006562,0.052415,0.008714,0.996148,-0.305514,0.052227,0.011936,0.995563,-0.002722,0.052618,0.408722,0.993932,-0.006564,0.052415,0.008721,-0.305506,0.052227,0.011944,-0.002729,0.052618,0.408707,-0.535581,0.050642,0.290380
2,0.016667,0.111262,-0.546878,-0.071131,-0.826732,-0.104934,0.052423,0.143121,0.000019,-0.006564,0.052418,0.008711,0.995757,-0.305516,0.052231,0.011934,0.995820,-0.002723,0.052621,0.408719,0.993805,-0.006566,0.052418,0.008720,-0.305509,0.052231,0.011941,-0.002728,0.052621,0.408703,-0.535561,0.050696,0.290355
3,0.025000,0.111265,-0.546873,-0.071126,-0.826735,-0.104938,0.052420,0.143124,0.000018,-0.006567,0.052413,0.008715,0.996059,-0.305518,0.052227,0.011935,0.995846,-0.002730,0.052620,0.408723,0.994937,-0.006571,0.052413,0.008722,-0.305510,0.052227,0.011940,-0.002734,0.052620,0.408711,-0.535543,0.050730,0.290317
4,0.033333,0.111264,-0.546877,-0.071131,-0.826733,-0.104942,0.052421,0.143122,0.000016,-0.006571,0.052415,0.008711,0.996401,-0.305523,0.052227,0.011934,0.996558,-0.002731,0.052620,0.408719,0.995060,-0.006574,0.052415,0.008719,-0.305517,0.052227,0.011938,-0.002735,0.052620,0.408707,-0.535550,0.050795,0.290260
5,0.041667,0.111264,-0.546873,-0.071133,-0.826735,-0.104945,0.052419,0.143123,0.000016,-0.006573,0.052414,0.008713,0.996316,-0.305524,0.052226,0.011934,0.996491,-0.002736,0.052618,0.408721,0.994967,-0.006576,0.052414,0.008721,-0.305518,0.052226,0.011938,-0.002740,0.052618,0.408708,-0.535540,0.050820,0.290223
