Format Version,1.21,Take Name,Take 2019-12-05 05.09.28 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-05 05.09.28 PM,Total Frames in Take,802,Total Exported Frames,802,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.111260,-0.546951,-0.071116,-0.826685,-0.104966,0.052419,0.143488,0.000035,-0.006619,0.052406,0.009061,0.992318,-0.305570,0.052229,0.012335,0.993552,-0.002710,0.052622,0.409068,0.987658,-0.006618,0.052406,0.009082,-0.305562,0.052229,0.012346,-0.002719,0.052622,0.409035,-0.574882,0.027835,0.334809
1,0.008333,0.111255,-0.546952,-0.071110,-0.826686,-0.104970,0.052419,0.143487,0.000037,-0.006623,0.052404,0.009060,0.992147,-0.305573,0.052233,0.012335,0.992956,-0.002713,0.052620,0.409067,0.987450,-0.006623,0.052404,0.009081,-0.305564,0.052233,0.012347,-0.002723,0.052620,0.409035,-0.574880,0.027843,0.334804
2,0.016667,0.111251,-0.546956,-0.071098,-0.826685,-0.104974,0.052416,0.143485,0.000039,-0.006628,0.052398,0.009057,0.991678,-0.305578,0.052234,0.012333,0.992214,-0.002716,0.052617,0.409064,0.987140,-0.006629,0.052398,0.009077,-0.305567,0.052234,0.012346,-0.002726,0.052617,0.409031,-0.574889,0.027849,0.334803
3,0.025000,0.111250,-0.546953,-0.071115,-0.826685,-0.104975,0.052418,0.143486,0.000039,-0.006629,0.052405,0.009058,0.992024,-0.305579,0.052233,0.012334,0.992549,-0.002717,0.052615,0.409066,0.985877,-0.006625,0.052405,0.009080,-0.305571,0.052233,0.012350,-0.002730,0.052615,0.409029,-0.574894,0.027830,0.334793
4,0.033333,0.111255,-0.546950,-0.071126,-0.826686,-0.104980,0.052419,0.143485,0.000038,-0.006633,0.052409,0.009058,0.991793,-0.305583,0.052230,0.012332,0.993894,-0.002723,0.052619,0.409065,0.986105,-0.006627,0.052409,0.009084,-0.305580,0.052230,0.012344,-0.002732,0.052619,0.409027,-0.574902,0.027831,0.334804
5,0.041667,0.111252,-0.546953,-0.071119,-0.826685,-0.104983,0.052420,0.143485,0.000041,-0.006637,0.052408,0.009057,0.991387,-0.305588,0.052233,0.012333,0.992721,-0.002726,0.052618,0.409064,0.985255,-0.006634,0.052408,0.009082,-0.305580,0.052233,0.012347,-0.002737,0.052618,0.409025,-0.574898,0.027823,0.334797
