Format Version,1.21,Take Name,Take 2019-10-07 04.14.05 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-10-07 04.14.05 PM,Total Frames in Take,2540,Total Exported Frames,2540,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,finger:Unlabeled:5286,finger:Unlabeled:5286,finger:Unlabeled:5286,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3571947000000000","8392B20CF49E3571947000000000","8392B20CF49E3571947000000000","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000008,-0.000078,0.000095,-1.000000,-0.025344,0.052364,0.063471,0.000068,0.068157,0.053311,-0.073629,0.987636,-0.230746,0.052332,-0.060984,0.980625,0.086558,0.051448,0.325026,0.980800,,,,0.068152,0.053311,-0.073682,-0.230697,0.052332,-0.060927,0.086514,0.051448,0.325023
1,0.008333,-0.000019,0.000027,-0.000234,-1.000000,-0.025377,0.052296,0.063420,0.000072,0.068152,0.053307,-0.073660,0.989230,-0.230753,0.052132,-0.061077,0.973413,0.086471,0.051448,0.324998,0.983445,,,,0.068174,0.053307,-0.073631,-0.230819,0.052132,-0.061131,0.086514,0.051448,0.325023
2,0.016667,-0.000147,-0.000006,-0.000177,-1.000000,-0.025395,0.052375,0.063458,0.000071,0.068125,0.053411,-0.073629,0.981038,-0.230780,0.052266,-0.061026,0.981787,0.086469,0.051448,0.325028,0.984201,,,,0.068062,0.053410,-0.073563,-0.230762,0.052266,-0.061087,0.086514,0.051448,0.325023
3,0.025000,-0.000126,0.000016,-0.000152,-1.000000,-0.025388,0.052370,0.063471,0.000078,0.068139,0.053395,-0.073611,0.978386,-0.230767,0.052266,-0.061022,0.984484,0.086465,0.051448,0.325047,0.978852,,,,0.068086,0.053394,-0.073521,-0.230762,0.052266,-0.061087,0.086514,0.051448,0.325023
4,0.033333,-0.000114,-0.000004,-0.000139,-1.000000,-0.025376,0.052366,0.063487,0.000066,0.068145,0.053386,-0.073599,0.975387,-0.230760,0.052265,-0.060997,0.988578,0.086488,0.051448,0.325058,0.986801,,,,0.068088,0.053385,-0.073524,-0.230731,0.052265,-0.061035,0.086514,0.051448,0.325023
5,0.041667,-0.000119,-0.000005,-0.000145,-1.000000,-0.025377,0.052368,0.063488,0.000066,0.068144,0.053390,-0.073599,0.975067,-0.230761,0.052265,-0.060997,0.988362,0.086487,0.051448,0.325058,0.986697,,,,0.068086,0.053389,-0.073524,-0.230731,0.052265,-0.061035,0.086514,0.051448,0.325023
