Format Version,1.21,Take Name,Take 2019-11-02 01.24.44 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-11-02 01.24.44 PM,Total Frames in Take,1538,Total Exported Frames,1538,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,traj:FKA-RigidBody 1:Marker2 (2),traj:FKA-RigidBody 1:Marker2 (2),traj:FKA-RigidBody 1:Marker2 (2)
,,"8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3571A10300000000","8392B20CF49E3571A10300000000","8392B20CF49E3571A10300000000"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.002155,0.000760,-0.000308,-0.999997,-0.296881,-0.884167,-0.641915,0.000556,-0.531427,-0.885293,-0.589527,0.804564,-0.319368,-0.799289,-0.783886,0.835197,-0.039849,-0.967920,-0.552332,0.943379,-0.531404,-0.884970,-0.590089,-0.319714,-0.799609,-0.783257,-0.039561,-0.967911,-0.552409,-0.229042,-1.036359,-0.401649
1,0.008333,-0.002297,0.000627,-0.000233,-0.999997,-0.296872,-0.884195,-0.641969,0.000578,-0.531404,-0.885300,-0.589519,0.801129,-0.319385,-0.799273,-0.783910,0.830283,-0.039828,-0.968011,-0.552479,0.935031,-0.531404,-0.884970,-0.590089,-0.319714,-0.799609,-0.783257,-0.039535,-0.967995,-0.552570,-0.229042,-1.036359,-0.401649
2,0.016667,-0.002153,0.000609,-0.000420,-0.999997,-0.296824,-0.884147,-0.641945,0.000596,-0.531354,-0.885325,-0.589487,0.786690,-0.319373,-0.799274,-0.783910,0.838073,-0.039746,-0.967841,-0.552439,0.928381,-0.531404,-0.884970,-0.590089,-0.319714,-0.799609,-0.783257,-0.039395,-0.967839,-0.552518,-0.229042,-1.036359,-0.401649
3,0.025000,-0.002153,0.000609,-0.000420,-0.999997,-0.296824,-0.884147,-0.641945,0.000596,-0.531354,-0.885325,-0.589487,0.786690,-0.319373,-0.799274,-0.783910,0.838073,-0.039746,-0.967841,-0.552439,0.928381,-0.531404,-0.884970,-0.590089,-0.319714,-0.799609,-0.783257,-0.039395,-0.967839,-0.552518,-0.229042,-1.036359,-0.401649
4,0.033333,-0.002297,0.000627,-0.000233,-0.999997,-0.296872,-0.884195,-0.641969,0.000578,-0.531404,-0.885300,-0.589519,0.801129,-0.319385,-0.799273,-0.783910,0.830283,-0.039828,-0.968011,-0.552479,0.935031,-0.531404,-0.884970,-0.590089,-0.319714,-0.799609,-0.783257,-0.039535,-0.967995,-0.552570,-0.229209,-1.036374,-0.401721
5,0.041667,-0.002153,0.000609,-0.000420,-0.999997,-0.296824,-0.884147,-0.641945,0.000596,-0.531354,-0.885325,-0.589487,0.786690,-0.319373,-0.799274,-0.783910,0.838073,-0.039746,-0.967841,-0.552439,0.928381,-0.531404,-0.884970,-0.590089,-0.319714,-0.799609,-0.783257,-0.039395,-0.967839,-0.552518,-0.229209,-1.036374,-0.401721
