Format Version,1.21,Take Name,Take 2019-11-02 02.08.57 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-11-02 02.08.57 PM,Total Frames in Take,1229,Total Exported Frames,1229,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,traj:FKA-RigidBody 1:Marker2 (2),traj:FKA-RigidBody 1:Marker2 (2),traj:FKA-RigidBody 1:Marker2 (2)
,,"8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E35732","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3571A10300000000","8392B20CF49E3571A10300000000","8392B20CF49E3571A10300000000"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000978,-0.000162,-0.000014,-1.000000,-0.297331,-0.883799,-0.641983,0.000492,-0.531780,-0.884457,-0.589157,0.929559,-0.320031,-0.799799,-0.784442,0.853466,-0.040183,-0.967141,-0.552350,0.848038,-0.531698,-0.884420,-0.589239,-0.320446,-0.799649,-0.784613,-0.039856,-0.967332,-0.552088,-0.357626,-1.092572,-0.328536
1,0.008333,0.000696,0.000002,-0.000250,-1.000000,-0.297330,-0.883870,-0.642021,0.000488,-0.531796,-0.884669,-0.589272,0.930993,-0.320022,-0.799800,-0.784440,0.851473,-0.040171,-0.967142,-0.552351,0.851465,-0.531697,-0.884634,-0.589355,-0.320446,-0.799649,-0.784613,-0.039856,-0.967332,-0.552088,-0.357626,-1.092572,-0.328536
2,0.016667,0.000967,-0.000179,-0.000233,-1.000000,-0.297330,-0.883792,-0.641976,0.000436,-0.531777,-0.884554,-0.589142,0.942221,-0.320071,-0.799799,-0.784432,0.868084,-0.040142,-0.967024,-0.552354,0.862600,-0.531693,-0.884530,-0.589203,-0.320446,-0.799649,-0.784613,-0.039857,-0.967201,-0.552106,-0.357626,-1.092572,-0.328536
3,0.025000,0.001082,-0.000253,-0.000031,-0.999999,-0.297355,-0.883830,-0.641946,0.000480,-0.531795,-0.884485,-0.589077,0.931142,-0.320084,-0.799860,-0.784418,0.861468,-0.040187,-0.967145,-0.552343,0.847572,-0.531738,-0.884450,-0.589151,-0.320472,-0.799715,-0.784588,-0.039856,-0.967332,-0.552088,-0.357626,-1.092572,-0.328536
4,0.033333,0.000987,-0.000229,-0.000034,-1.000000,-0.297348,-0.883808,-0.641954,0.000470,-0.531789,-0.884474,-0.589097,0.937784,-0.320070,-0.799811,-0.784411,0.865133,-0.040184,-0.967139,-0.552355,0.844596,-0.531738,-0.884450,-0.589151,-0.320446,-0.799649,-0.784613,-0.039856,-0.967332,-0.552088,-0.357547,-1.092358,-0.328548
5,0.041667,0.001072,-0.000241,-0.000146,-0.999999,-0.297348,-0.883765,-0.641960,0.000440,-0.531788,-0.884475,-0.589096,0.940839,-0.320092,-0.799797,-0.784430,0.873392,-0.040163,-0.967023,-0.552352,0.855910,-0.531738,-0.884450,-0.589151,-0.320446,-0.799649,-0.784613,-0.039857,-0.967201,-0.552106,-0.357594,-1.092224,-0.328596
